ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.20341219442716146,0.19707444422826542,0.20046319065398355,0.20866806174956382,0.19038210894102575
2,0.20688821328971904,0.19651692395394887,0.207889712379451,0.20381450874540535,0.18489064163147573
3,0.20186856333137163,0.19568419683108526,0.20949381924679578,0.20701108387015374,0.18594233672059354
4,0.20490176829827503,0.19848277789211158,0.20056402273781118,0.2089331787529355,0.18711825231886675
5,0.20711586725455872,0.1972148203585192,0.20721043534884973,0.20402909050306003,0.18442978653501235
6,0.20705593032706596,0.19749394880465515,0.20677935417602836,0.2037623086982878,0.18490845799396285
7,0.20267887193565784,0.19956372759254692,0.20496219632686308,0.20080366945220476,0.19199153469272748
8,0.20113340380733777,0.19188121723927073,0.214011774526967,0.20830206053966965,0.18467154388675483
9,0.2038890361312241,0.1893116620918211,0.21727711509018807,0.20519722991326111,0.18432495677350558
10,0.20653519909976034,0.1946932408036263,0.21061409597232658,0.20506644930450504,0.18309101481978182
11,0.20600965166250884,0.19158765959508137,0.214453366953903,0.20656271445811986,0.181386607330387
12,0.20429708644472472,0.20243228104849023,0.19621024831769765,0.20662652369341664,0.19043386049567074
13,0.20600965166250884,0.19158765959508137,0.214453366953903,0.20656271445811986,0.181386607330387
14,0.20121117372407474,0.20123478275650342,0.2030982657031862,0.20597784543725184,0.1884779323789839
15,0.20676452462095377,0.1953866073524974,0.20992800857361493,0.20528439439770277,0.18263646505523118
16,0.20600965166250884,0.19158765959508137,0.214453366953903,0.20656271445811986,0.181386607330387
17,0.20888173097721988,0.19914797733123552,0.20759752868832057,0.20479825402118076,0.17957450898204322
18,0.20705593032706596,0.19749394880465515,0.20677935417602836,0.2037623086982878,0.18490845799396285
19,0.20192283948411327,0.19708696128609562,0.2070199059465387,0.20525192915223275,0.18871836413101958
20,0.19506337155981668,0.20876565956423587,0.19148576407665602,0.21058872143850557,0.194096483360786
21,0.20198297133308107,0.1968100458182293,0.20745321493643226,0.20552237154807732,0.18823139636418001
22,0.2197995271216711,0.23701429901716067,0.06260336303265175,0.2477761890494604,0.2328066217790561
23,0.20676452462095377,0.1953866073524974,0.20992800857361493,0.20528439439770277,0.18263646505523118
24,0.20777818518484936,0.2251792067158652,0.11049049214177245,0.2351540790788753,0.22139803687863763
25,0.20653519909976034,0.1946932408036263,0.21061409597232658,0.20506644930450504,0.18309101481978182
26,0.19608704048935113,0.19964605448425196,0.20530866685271426,0.20896016067360232,0.18999807750008038
27,0.198737987416228,0.18907588817062865,0.21834523786059773,0.20704681635878933,0.18679407019375635
28,0.19670868050215434,0.19958708102192294,0.20058390945022234,0.20967817697248425,0.19344215205321624
29,0.20705593032706596,0.19749394880465515,0.20677935417602836,0.2037623086982878,0.18490845799396285
30,0.20711586725455872,0.1972148203585192,0.20721043534884973,0.20402909050306003,0.18442978653501235
31,0.20251537898488242,0.2025441294588084,0.20349247137507828,0.20618062098088996,0.18526739920034088
32,0.2035708415957047,0.18880023763912535,0.21881155148219916,0.2053327592074763,0.18348461007549446
33,0.19639444951944113,0.2014876638941195,0.20262428414391453,0.20765511093952352,0.1918384915030013
34,0.1989707798388576,0.1897608127669084,0.21764722840119655,0.20727949699530498,0.18634168199773235
35,0.19636825883396275,0.19488568423646177,0.20620367028160608,0.21003105190116061,0.1925113347468087
36,0.20676452462095377,0.1953866073524974,0.20992800857361493,0.20528439439770277,0.18263646505523118
37,0.19633110124349618,0.20176614558935843,0.20219603542005085,0.20737670738767439,0.19233001035942013
38,0.20380740764303962,0.18948240899629573,0.21811003149930006,0.2055616099744086,0.18303854188695584
39,0.20844018276463155,0.19848071611478074,0.2075945336282567,0.20421215336515752,0.18127241412717346
40,0.200891654993343,0.1993909485774999,0.20578424619287852,0.2072676387519191,0.18666551148435948
41,0.20399396596777253,0.1970126714276305,0.20170902154573891,0.20912885769361603,0.18815548336524202
42,0.20894857376993725,0.22610570415469722,0.1093110659809125,0.2342420021810389,0.22139265391341414
